0000000129,0000106667,063631,060932,066521,066934,-73035,089166,-10062
0000000130,0000107500,063633,060996,066455,066934,-88155,074418,019807
0000000131,0000108333,063612,061069,066404,066934,-94546,052345,048270
0000000132,0000109167,063569,061144,066371,066934,-91623,025143,072550
0000000133,0000110000,063509,061213,066361,066934,-79671,-04540,090280
0000000134,0000110833,063439,061270,066375,066934,-59822,-33794,099686
0000000135,0000111667,063363,061309,066411,066934,-34057,-59759,099886
0000000136,0000112500,063291,061327,066466,066934,-04886,-79904,090860
0000000137,0000113333,063230,061321,066533,066934,024838,-92222,073453
0000000138,0000114167,063184,061292,066608,066934,052203,-95542,049409
0000000139,0000115000,063159,061244,066682,066934,074543,-89543,021069
0000000140,0000115833,063157,061179,066748,066934,089638,-74769,-08800
0000000141,0000116667,063178,061106,066799,066934,096043,-52707,-37266
0000000142,0000117500,063221,061032,066832,066934,093134,-25509,-61556
0000000143,0000118333,063280,060962,066841,066934,081155,004177,-79262
0000000144,0000119167,063351,060905,066828,066934,061319,033432,-88682
0000000145,0000120000,063426,060866,066792,066934,035560,059406,-88896
0000000146,0000120833,063498,060848,066737,066934,006382,079530,-79842
0000000147,0000121667,063560,060854,066670,066934,-23341,091860,-62449
0000000148,0000122500,063606,060883,066595,066934,-50715,095196,-38411
0000000149,0000123333,063631,060932,066521,066934,-73035,089167,-10062
0000000150,0000124167,063633,060996,066455,066934,-88141,074406,019804
0000000151,0000125000,063612,061069,066404,066934,-94561,052354,048277
0000000152,0000125833,063569,061144,066371,066934,-91623,025143,072550
0000000153,0000126667,063509,061213,066362,066934,-79658,-04539,090267
0000000154,0000127500,063439,061270,066375,066934,-59832,-33799,099701
0000000155,0000128333,063363,061309,066411,066934,-34057,-59759,099886
0000000156,0000129167,063291,061327,066466,066934,-04885,-79892,090847
0000000157,0000130000,063230,061321,066533,066934,024842,-92236,073464
0000000158,0000130833,063184,061292,066608,066934,052203,-95542,049409
0000000159,0000131667,063159,061243,066682,066934,074532,-89528,021066
0000000160,0000132500,063157,061179,066748,066934,089652,-74780,-08802
0000000161,0000133333,063178,061106,066799,066934,096043,-52707,-37266
0000000162,0000134167,063221,061032,066832,066934,093120,-25504,-61546
0000000163,0000135000,063280,060962,066842,066934,081168,004178,-79276
0000000164,0000135833,063351,060905,066828,066934,061319,033432,-88682
0000000165,0000136667,063426,060866,066792,066934,035554,059397,-88882
0000000166,0000137500,063498,060848,066737,066934,006383,079542,-79856
0000000167,0000138333,063560,060854,066670,066934,-23341,091860,-62449
0000000168,0000139167,063606,060883,066595,066934,-50707,095181,-38404
0000000169,0000140000,063631,060932,066521,066934,-73047,089181,-10064
0000000170,0000140833,063633,060996,066455,066934,-88141,074407,019804
0000000171,0000141667,063612,061069,066404,066934,-94546,052345,048270
0000000172,0000142500,063569,061144,066371,066934,-91638,025147,072561
0000000173,0000143333,063509,061213,066362,066934,-79658,-04539,090267
0000000174,0000144167,063439,061270,066375,066934,-59822,-33794,099686
0000000175,0000145000,063363,061309,066411,066934,-34063,-59768,099900
0000000176,0000145833,063291,061327,066466,066934,-04886,-79892,090847
0000000177,0000146667,063230,061321,066533,066934,024838,-92222,073453
